"Japanese","English"
"//Text $1B7D68
#WRITE(ptr,$19140C)
星を意匠して作られたグローブ。[LINE]
指先はまるで流星のよう。[LINE]
クロークとセットでどうぞ。[END]
","//Text $1B7D68
#WRITE(ptr,$19140C)
Gloves designed after a star. Its[LINE]
fingertips look like falling stars.[LINE]
Goes well with its cloak.[END]"
"//Text $1B7D50
#WRITE(ptr,$191428)
[Sign_1]ルーングローブ[END]
","//Text $1B7D50
#WRITE(ptr,$191428)
[Sign_1]Rune Gloves[END]
"
"//Text $1B7CF8
#WRITE(ptr,$19142C)
慈愛のルーンが刺繍されたグローブ。[LINE]
触れる者全てを癒す力を、[LINE]
身に付けた者に与える。[END]
","//Text $1B7CF8
#WRITE(ptr,$19142C)
Gloves embroidered with the Love[LINE]
rune. Imbues one with the power[LINE]
to heal with a touch.[END]"
"//Text $1B7CE0
#WRITE(ptr,$191448)
[Sign_1]ミスティグローブ[END]
","//Text $1B7CE0
#WRITE(ptr,$191448)
[Sign_1]Misty Gloves[END]
"
"//Text $1B7C88
#WRITE(ptr,$19144C)
原料や生成が不明なグローブ。[LINE]
見る角度により色が変化する。[LINE]
クロークとセットでどうぞ。[END]
","//Text $1B7C88
#WRITE(ptr,$19144C)
Gloves made from unknown materials.[LINE]
Its colors change with viewing angle.[LINE]
Goes well with its cloak.[END]"
"//Text $1B7C70
#WRITE(ptr,$191468)
[Sign_1]ミスリルグローブ[END]
","//Text $1B7C70
#WRITE(ptr,$191468)
[Sign_1]Mithril Gloves[END]
"
"//Text $1B7C30
#WRITE(ptr,$19146C)
ミスリル細工のグローブ。[LINE]
ドワーフ族の芸術作品といわれる。[LINE]
[END]
","//Text $1B7C30
#WRITE(ptr,$19146C)
Gloves decorated with Mithril.[LINE]
Considered to be a Dwarven[LINE]
work of art.[END]"
"//Text $1B7C18
#WRITE(ptr,$191488)
[Sign_1]スティールグローブ[END]
","//Text $1B7C18
#WRITE(ptr,$191488)
[Sign_1]Steal Gloves[END]
"
"//Text $1B7BC0
#WRITE(ptr,$19148C)
伝承で伝わる伝説の義賊が使って[LINE]
いたグローブ。気配を絶ち相手の[LINE]
懐を掠め取る神業を得る。[END]
","//Text $1B7BC0
#WRITE(ptr,$19148C)
Gloves said to have been worn by[LINE]
a legendary thief. Allows one to[LINE]
pickpocket even hidden targets.[END]"
"//Text $1B7BA8
#WRITE(ptr,$1914A8)
[Sign_1]グリムグローブ[END]
","//Text $1B7BA8
#WRITE(ptr,$1914A8)
[Sign_1]Grimm Gloves[END]
"
"//Text $1B7B50
#WRITE(ptr,$1914AC)
伝説に登場する幻想の力を秘めた[LINE]
グローブ。口伝を書物にまとめた[LINE]
兄弟の名を冠する。[END]
","//Text $1B7B50
#WRITE(ptr,$1914AC)
Gloves imbued with the hidden power of[LINE]
fantasies. Named after the brothers who[LINE]
collected oral traditions into a book.[END]"
"//Text $1B7B38
#WRITE(ptr,$1914C8)
[Sign_1]ストレイネックレス[END]
","//Text $1B7B38
#WRITE(ptr,$1914C8)
[Sign_1]Stray Necklace[END]
"
"//Text $1B7AE8
#WRITE(ptr,$1914CC)
ストレイライズ神殿の司祭に[LINE]
与えられるネックレス。[LINE]
集中力を高める効果がある。[END]
","//Text $1B7AE8
#WRITE(ptr,$1914CC)
Necklace given to the priests of[LINE]
the Straylize temple. Increases[LINE]
the wearers concentration.[END]"
"//Text $1B7AC8
#WRITE(ptr,$1914E8)
[Sign_1]ウィズダムネックレス[END]
","//Text $1B7AC8
#WRITE(ptr,$1914E8)
[Sign_1]Wisdom Necklace[END]
"
"//Text $1B7A60
#WRITE(ptr,$1914EC)
地の精霊の加護を受けたネックレス。[LINE]
揺るがぬ冷静な心を与える。[LINE]
地属性晶術のダメージがアップする。[END]
","//Text $1B7A60
#WRITE(ptr,$1914EC)
Necklace imbued with the Earth Spirits.[LINE]
Gives one unshakable composure.[LINE]
Increases the damage of [Sign_Earth] spells.[END]"
"//Text $1B7A40
#WRITE(ptr,$191508)
[Sign_1]アバタールネックレス[END]
","//Text $1B7A40
#WRITE(ptr,$191508)
[Sign_1]Avatar Necklace[END]
"
"//Text $1B79D0
#WRITE(ptr,$19150C)
風の精霊の加護を受けたネックレス。[LINE]
理想を現実へと導く行動力を与える。[LINE]
風属性晶術のダメージがアップする。[END]
","//Text $1B79D0
#WRITE(ptr,$19150C)
Necklace imbued with the Wind Spirits.[LINE]
Gives the drive to make dreams real.[LINE]
Increases the damage of [Sign_Wind] spells.[END]"
"//Text $1B79B0
#WRITE(ptr,$191528)
[Sign_1]アーケインネックレス[END]
","//Text $1B79B0
#WRITE(ptr,$191528)
[Sign_1]Arcane Necklace[END]
"
"//Text $1B7948
#WRITE(ptr,$19152C)
火の精霊の加護を受けたネックレス。[LINE]
神秘なる者の声を聞く力を与える。[LINE]
火属性晶術のダメージがアップする。[END]
","//Text $1B7948
#WRITE(ptr,$19152C)
Necklace imbued with the Fire Spirits.[LINE]
Makes one hear hidden voices.[LINE]
Increases the damage of [Sign_Fire] spells.[END]"
"//Text $1B7930
#WRITE(ptr,$191548)
[Sign_1]マジカルネックレス[END]
","//Text $1B7930
#WRITE(ptr,$191548)
[Sign_1]Magical Necklace[END]
"
"//Text $1B78C8
#WRITE(ptr,$19154C)
水の精霊の加護を受けたネックレス。[LINE]
精神力をより鋭く研ぎ澄まされる。[LINE]
水属性晶術のダメージがアップする。[END]
","//Text $1B78C8
#WRITE(ptr,$19154C)
Necklace imbued with the Water Spirits.[LINE]
Sharpens one's willpower. Increases the[LINE]
damage of [Sign_Water] spells.[END]"
"//Text $1B78B0
#WRITE(ptr,$191568)
[Sign_1]マインドネックレス[END]
","//Text $1B78B0
#WRITE(ptr,$191568)
[Sign_1]Mind Necklace[END]
"
"//Text $1B7848
#WRITE(ptr,$19156C)
光の精霊の加護を受けたネックレス。[LINE]
心に秘めた力を増加させる。[LINE]
光属性晶術のダメージがアップする。[END]
","//Text $1B7848
#WRITE(ptr,$19156C)
Necklace imbued with the Light Spirits.[LINE]
Heightens one's power to keep secrets.[LINE]
Increases the damage of [Sign_Light] spells.[END]"
"//Text $1B7830
#WRITE(ptr,$191588)
[Sign_1]メンタルネックレス[END]
","//Text $1B7830
#WRITE(ptr,$191588)
[Sign_1]Mental Necklace[END]
"
"//Text $1B77D0
#WRITE(ptr,$19158C)
大地母神の祝福を受けたネックレス。[LINE]
大いなる祝福と深い慈愛を。[LINE]
地属性晶術の詠唱時間が減少する。[END]
","//Text $1B77D0
#WRITE(ptr,$19158C)
Necklace imbued with the Earth Spirits and[LINE]
Goddess' blessings and love. Decreases[LINE]
the casting time of [Sign_Earth] spells.[END]"
"//Text $1B77B0
#WRITE(ptr,$1915A8)
[Sign_1]トランキルネックレス[END]
","//Text $1B77B0
#WRITE(ptr,$1915A8)
[Sign_1]Tranquil Necklace[END]
"
"//Text $1B7750
#WRITE(ptr,$1915AC)
風の王の祝福を受けたネックレス。[LINE]
大いなる祝福と歪まぬ心を。[LINE]
風属性晶術の詠唱時間が減少する。[END]
","//Text $1B7750
#WRITE(ptr,$1915AC)
Necklace imbued with the Lord of Winds'[LINE]
blessing and warped heart. Decreases[LINE]
the casting time of [Sign_Wind] spells.[END]"
"//Text $1B7738
#WRITE(ptr,$1915C8)
[Sign_1]ミューズネックレス[END]
","//Text $1B7738
#WRITE(ptr,$1915C8)
[Sign_1]Muse Necklace[END]
"
"//Text $1B76D8
#WRITE(ptr,$1915CC)
炎の女神の祝福を受けたネックレス。[LINE]
大いなる祝福と貫く意思を。[LINE]
火属性晶術の詠唱時間が減少する。[END]
","//Text $1B76D8
#WRITE(ptr,$1915CC)
Necklace imbued with the Fire Goddess'[LINE]
blessing and impenetrable will. Decreases [LINE]
the casting time of [Sign_Fire] spells.[END]"
"//Text $1B76B8
#WRITE(ptr,$1915E8)
[Sign_1]フェアリィネックレス[END]
","//Text $1B76B8
#WRITE(ptr,$1915E8)
[Sign_1]Fairy Necklace[END]
"
"//Text $1B7658
#WRITE(ptr,$1915EC)
海の神の祝福を受けたネックレス。[LINE]
大いなる祝福と惑わぬ心を。[LINE]
水属性晶術の詠唱時間が減少する。[END]
","//Text $1B7658
#WRITE(ptr,$1915EC)
Necklace imbued with the Ocean God's[LINE]
blessing and unwavering heart. [LINE]
Decreases the casting time of [Sign_Water] spells.[END]"
"//Text $1B7638
#WRITE(ptr,$191608)
[Sign_1]リチュアルネックレス[END]
","//Text $1B7638
#WRITE(ptr,$191608)
[Sign_1]Ritual Necklace[END]
"
"//Text $1B75D0
#WRITE(ptr,$19160C)
光の大神の祝福を受けたネックレス。[LINE]
大いなる祝福と永久の忠誠を。[LINE]
光属性晶術の詠唱時間が減少する。[END]
","//Text $1B75D0
#WRITE(ptr,$19160C)
Necklace imbued with the God of Light's[LINE]
blessing and eternal integrity. Decreases[LINE]
the casting time of [Sign_Light] spells.[END]"
"//Text $1B75C0
#WRITE(ptr,$191628)
[Sign_1]セルフボウ[END]
","//Text $1B75C0
#WRITE(ptr,$191628)
[Sign_1]Otto Bow[END]
"
"//Text $1B7570
#WRITE(ptr,$19162C)
1本の木材で構成された長弓。[LINE]
弓の道に進むのなら、[LINE]
まずは自分の弓作りから。[END]
","//Text $1B7570
#WRITE(ptr,$19162C)
Longbow made from a single piece of[LINE]
lumber. To master the art of archery,[LINE]
one must craft a bow of their own.[END]"
"//Text $1B7558
#WRITE(ptr,$191648)
[Sign_1]コンポジットボウ[END]
","//Text $1B7558
#WRITE(ptr,$191648)
[Sign_1]Composite Bow[END]
"
"//Text $1B7508
#WRITE(ptr,$19164C)
複数の材料と材質を合わせた長弓。[LINE]
軸がぶれず適度に柔軟。[LINE]
弓に慣れてきた狩人用。[END]
","//Text $1B7508
#WRITE(ptr,$19164C)
Longbow made of several materials.[LINE]
Moderately flexible. For hunters[LINE]
familiar with the use of bows.[END]"
"//Text $1B74F0
#WRITE(ptr,$191668)
[Sign_1]ラップドボウ[END]
","//Text $1B74F0
#WRITE(ptr,$191668)
[Sign_1]Wrapped Bow[END]
"
"//Text $1B7498
#WRITE(ptr,$19166C)
風よりも速く、駆ける獣をも射る。[LINE]
自らが狩った獣の体の一部を[LINE]
使用して作るのが伝統。[END]
","//Text $1B7498
#WRITE(ptr,$19166C)
Faster than the wind, it can reach[LINE]
fleeing prey. Traditionally made[LINE]
with a part of a hunted animal.[END]"
"//Text $1B7480
#WRITE(ptr,$191688)
[Sign_1]カスタムボウ[END]
","//Text $1B7480
#WRITE(ptr,$191688)
[Sign_1]Custom Bow[END]
"
"//Text $1B7428
#WRITE(ptr,$19168C)
錬金術から生まれた特殊金属の長弓。[LINE]
獲物の存在を感知すると、[LINE]
熱を持って伝えるという。[END]
","//Text $1B7428
#WRITE(ptr,$19168C)
Longbow made from a special[LINE]
alchemically created metal. Said to[LINE]
feel a prey's presence by its heat.[END]"
"//Text $1B7410
#WRITE(ptr,$1916A8)
[Sign_1]ラピッドボウ[END]
","//Text $1B7410
#WRITE(ptr,$1916A8)
[Sign_1]Rapid Bow[END]
"
"//Text $1B73B8
#WRITE(ptr,$1916AC)
草原を駆ける獣よりも速く。[LINE]
天高く飛ぶ鳥よりも遠くへ。[LINE]
最高の腕を持つ狩人のための長弓。[END]
","//Text $1B73B8
#WRITE(ptr,$1916AC)
Faster than an animal running through the[LINE]
fields. Faster than the birds flying through[LINE]
the skies. Made for experienced hunters.[END]"
"//Text $1B73A8
#WRITE(ptr,$1916C8)
[Sign_1]キラーボウ[END]
","//Text $1B73A8
#WRITE(ptr,$1916C8)
[Sign_1]Killer Bow[END]
"
"//Text $1B7368
#WRITE(ptr,$1916CC)
一撃必中。[LINE]
暗殺に特化された長弓。[LINE]
音もなく放たれる死の一撃。[END]
","//Text $1B7368
#WRITE(ptr,$1916CC)
One hit, one kill. Longbow used[LINE]
in assassinations. Shoots death[LINE]
silently.[END]"
"//Text $1B7358
#WRITE(ptr,$1916E8)
[Sign_1]バトルボウ[END]
","//Text $1B7358
#WRITE(ptr,$1916E8)
[Sign_1]Battle Bow[END]
"
"//Text $1B7308
#WRITE(ptr,$1916EC)
その名の通り戦闘に特化した長弓。[LINE]
強度もあり、その一撃は敵の装甲を[LINE]
貫くほど。[END]
","//Text $1B7308
#WRITE(ptr,$1916EC)
Longbow made for use on the[LINE]
battlefield. Strong enough to[LINE]
pierce the enemy's armor.[END]"
"//Text $1B72F8
#WRITE(ptr,$191708)
[Sign_1]グリムボウ[END]
","//Text $1B72F8
#WRITE(ptr,$191708)
[Sign_1]Grimm Bow[END]
"
"//Text $1B72A8
#WRITE(ptr,$19170C)
伝説に登場する幻想の力を秘めた[LINE]
長弓。口伝を書物にまとめた[LINE]
兄弟の名を冠する。[END]
","//Text $1B72A8
#WRITE(ptr,$19170C)
Longbow imbued with the hidden power of[LINE]
fantasies. Named after the brothers who[LINE]
collected oral traditions into a book.[END]"
"//Text $1B7298
#WRITE(ptr,$191728)
[Sign_1]ねぎ[END]
","//Text $1B7298
#WRITE(ptr,$191728)
[Sign_1]Leek[END]
"
"//Text $1B7248
#WRITE(ptr,$19172C)
古くから薬用植物として重宝され、[LINE]
体を温めたり、[LINE]
疲労回復などの効果がある。[END]
","//Text $1B7248
#WRITE(ptr,$19172C)
Used as a medicinal plant since[LINE]
ancient times, it warms the body[LINE]
and relieves fatigue.[END]"
"//Text $1B7230
#WRITE(ptr,$191748)
[Sign_1]リングダガー[END]
","//Text $1B7230
#WRITE(ptr,$191748)
[Sign_1]Ring Dagger[END]
"
"//Text $1B71E0
#WRITE(ptr,$19174C)
柄頭の形状がリングになっている[LINE]
短剣。輪に紐を通して[LINE]
投げて使うことも可能。[END]
","//Text $1B71E0
#WRITE(ptr,$19174C)
A dagger with a ring-shaped[LINE]
pommel. Attach a wire and[LINE]
you can throw and reel it in.[END]"
"//Text $1B71C8
#WRITE(ptr,$191768)
[Sign_1]キドニーダガー[END]
","//Text $1B71C8
#WRITE(ptr,$191768)
[Sign_1]Kidney Dagger[END]
"
"//Text $1B7168
#WRITE(ptr,$19176C)
騎士達が持つ切っ先の尖った短剣。[LINE]
相手を傷つけることよりも[LINE]
儀礼的なことで使われる事が多い。[END]
","//Text $1B7168
#WRITE(ptr,$19176C)
A sharp dagger carried by the knights.[LINE]
It is more often used for ceremonial[LINE]
purposes than for actual combat.[END]"
"//Text $1B7150
#WRITE(ptr,$191788)
[Sign_1]イヤードダガー[END]
","//Text $1B7150
#WRITE(ptr,$191788)
[Sign_1]Ear Dagger[END]
"
"//Text $1B7108
#WRITE(ptr,$19178C)
柄頭が耳のような形状をした短剣。[LINE]
握りやすく、優れた貫通力を持つ。[LINE]
[END]
","//Text $1B7108
#WRITE(ptr,$19178C)
A dagger with an ear-shaped[LINE]
pommel. It's easy to grip and[LINE]
has great piercing power.[END]"
"//Text $1B70F0
#WRITE(ptr,$1917A8)
[Sign_1]パリーイングダガー[END]
","//Text $1B70F0
#WRITE(ptr,$1917A8)
[Sign_1]Parrying Dagger[END]
"
"//Text $1B7098
#WRITE(ptr,$1917AC)
二刀流剣士の必需品、左手用短剣。[LINE]
硬い刀身を持ち、[LINE]
相手の剣を受け止めることも可能。[END]
","//Text $1B7098
#WRITE(ptr,$1917AC)
Left-hand held dagger, a necessity for[LINE]
ambidextrous swordsmen. Has a sharp[LINE]
blade and can block enemy attacks.[END]"
"//Text $1B7080
#WRITE(ptr,$1917C8)
[Sign_1]ポニャードダガー[END]
","//Text $1B7080
#WRITE(ptr,$1917C8)
[Sign_1]Poignard Dagger[END]
"
"//Text $1B7038
#WRITE(ptr,$1917CC)
刺すことに力点を置いた短剣。[LINE]
決闘で使われる殺傷能力の高い武器。[LINE]
[END]
","//Text $1B7038
#WRITE(ptr,$1917CC)
A dagger made for thrusting.[LINE]
When used in a duel it can[LINE]
inflict severe bloodshed.[END]"
"//Text $1B7020
#WRITE(ptr,$1917E8)
[Sign_1]クリスダガー[END]
","//Text $1B7020
#WRITE(ptr,$1917E8)
[Sign_1]Kris Dagger[END]
"
"//Text $1B6FB8
#WRITE(ptr,$1917EC)
世界中でもっとも洗練された武器。[LINE]
刃は両刃で波形にうねっている。[LINE]
身を守り、邪悪を退ける力を持つ。[END]
","//Text $1B6FB8
#WRITE(ptr,$1917EC)
The world's most refined weapon.[LINE]
Its double-edged blade undulates.[LINE]
Protects the user and expels evil.[END]"
"//Text $1B6FA8
#WRITE(ptr,$191808)
[Sign_1]まつたけ[END]
","//Text $1B6FA8
#WRITE(ptr,$191808)
[Sign_1]Mushroom[END]
"
"//Text $1B6F60
#WRITE(ptr,$19180C)
非常に高価なきのこの王様。[LINE]
傘が開ききると[LINE]
香りも味も落ちてしまう。[END]
","//Text $1B6F60
#WRITE(ptr,$19180C)
The utterly expensive king of mushrooms.[LINE]
Acquires a powerful taste and smell when[LINE]
its cap opens.[END]"
"//Text $1B6F48
#WRITE(ptr,$191828)
[Sign_1]必勝バンダナ[END]
","//Text $1B6F48
#WRITE(ptr,$191828)
[Sign_1]Triumph Bandana[END]
"
"//Text $1B6F08
#WRITE(ptr,$19182C)
『必勝』と描かれたバンダナ。[LINE]
気が引き締まり、攻撃力アップ！[LINE]
[END]
","//Text $1B6F08
#WRITE(ptr,$19182C)
A ""Certain Victory"" bandana.[LINE]
Increases attack when worn.[LINE]
[END]"
"//Text $1B6EF0
#WRITE(ptr,$191848)
[Sign_1]激烈バンダナ[END]
","//Text $1B6EF0
#WRITE(ptr,$191848)
[Sign_1]Fury Bandana[END]
"
"//Text $1B6EA8
#WRITE(ptr,$19184C)
『激烈』と描かれたバンダナ。[LINE]
熱毒を防止し、攻撃力を上昇させる。[LINE]
[END]
","//Text $1B6EA8
#WRITE(ptr,$19184C)
A ""Fury"" bandana. Protects[LINE]
wearer against poison and[LINE]
increases attack when worn.[END]"
"//Text $1B6E90
#WRITE(ptr,$191868)
[Sign_1]堅牢バンダナ[END]
","//Text $1B6E90
#WRITE(ptr,$191868)
[Sign_1]Stout Bandana[END]
"
"//Text $1B6E48
#WRITE(ptr,$19186C)
『堅牢』と描かれたバンダナ。[LINE]
石化を防止し、防御力を上昇させる。[LINE]
[END]
","//Text $1B6E48
#WRITE(ptr,$19186C)
A ""Stout"" bandana. Protects wearer[LINE]
against petrification and increases[LINE]
defense.[END]"
"//Text $1B6E30
#WRITE(ptr,$191888)
[Sign_1]天空バンダナ[END]
","//Text $1B6E30
#WRITE(ptr,$191888)
[Sign_1]Sky Bandana[END]
"
"//Text $1B6DF0
#WRITE(ptr,$19188C)
『天空』と描かれたバンダナ。[LINE]
麻痺を防止し、体力を上昇させる。[LINE]
[END]
","//Text $1B6DF0
#WRITE(ptr,$19188C)
A ""Sky"" bandana. Protects[LINE]
wearer against paralysis[LINE]
and increases endurance.[END]"
"//Text $1B6DD8
#WRITE(ptr,$1918A8)
[Sign_1]覚醒バンダナ[END]
","//Text $1B6DD8
#WRITE(ptr,$1918A8)
[Sign_1]Awakening Bandana[END]
"
"//Text $1B6D90
#WRITE(ptr,$1918AC)
『覚醒』と描かれたバンダナ。[LINE]
睡眠を防止し、集中力を上昇させる。[LINE]
[END]
","//Text $1B6D90
#WRITE(ptr,$1918AC)
An ""Awakening"" bandana. Protects[LINE]
wearer against sleep and increases[LINE]
concentration.[END]"
"//Text $1B6D78
#WRITE(ptr,$1918C8)
[Sign_1]疾風バンダナ[END]
","//Text $1B6D78
#WRITE(ptr,$1918C8)
[Sign_1]Gale Bandana[END]
"
