"Japanese","English"
"//Text $1B5A10
#WRITE(ptr,$18F5CC)
王国騎士団が装備する上半身鎧。[LINE]
頑強な作りであり品のある色。[LINE]
これであなたも騎士気分。[END]
","//Text $1B5A10
#WRITE(ptr,$18F5CC)
Upper body armor of a Royal Knightly[LINE]
order. Constructed to be sturdy. With[LINE]
this you too can feel like a Knight.[END]"
"//Text $1B59F8
#WRITE(ptr,$18F604)
[Sign_Shield]スターアーマー[END]
","//Text $1B59F8
#WRITE(ptr,$18F604)
[Sign_Shield]Star Armor[END]
"
"//Text $1B59A0
#WRITE(ptr,$18F608)
特殊加工して作られた非常に軽い[LINE]
上半身鎧。流星のように速く動ける。[LINE]
と、宣伝されている。[END]
","//Text $1B59A0
#WRITE(ptr,$18F608)
Extremely light upper body armor made with a[LINE]
special process. Allows one to move as fast[LINE]
as a falling star. Or so it is advertised.[END]"
"//Text $1B5988
#WRITE(ptr,$18F640)
[Sign_Shield]ダイヤアーマー[END]
","//Text $1B5988
#WRITE(ptr,$18F640)
[Sign_Shield]Diamond Armor[END]
"
"//Text $1B5948
#WRITE(ptr,$18F644)
ダイヤモンドで装飾された上半身鎧。[LINE]
その輝きは敵の目を眩ます。[LINE]
[END]
","//Text $1B5948
#WRITE(ptr,$18F644)
Upper body armor decorated with[LINE]
diamonds. Bewilders enemies[LINE]
with its brightness.[END]"
"//Text $1B5930
#WRITE(ptr,$18F67C)
[Sign_Shield]バトルアーマー[END]
","//Text $1B5930
#WRITE(ptr,$18F67C)
[Sign_Shield]Battle Armor[END]
"
"//Text $1B58D8
#WRITE(ptr,$18F680)
戦闘用に特化した上半身鎧。[LINE]
機能性を重視して作られているため、[LINE]
どんな動きも遮らない。[END]
","//Text $1B58D8
#WRITE(ptr,$18F680)
Upper body armor made specially for combat.[LINE]
Since it is made with functionality in mind it[LINE]
doesn't hinder one's movements.[END]"
"//Text $1B58C0
#WRITE(ptr,$18F6B8)
[Sign_Shield]レアアーマー[END]
","//Text $1B58C0
#WRITE(ptr,$18F6B8)
[Sign_Shield]Rare Armor[END]
"
"//Text $1B5880
#WRITE(ptr,$18F6BC)
名工ギースの魂のこもった[LINE]
無二の傑作。[LINE]
きわめて希少価値が高い。[END]
","//Text $1B5880
#WRITE(ptr,$18F6BC)
Masterpiece imbued with[LINE]
the soul of Giese.[LINE]
Extremely valuable.[END]"
"//Text $1B5868
#WRITE(ptr,$18F6F4)
[Sign_Shield]スケールアーマー[END]
","//Text $1B5868
#WRITE(ptr,$18F6F4)
[Sign_Shield]Scale Armor[END]
"
"//Text $1B5808
#WRITE(ptr,$18F6F8)
鉄板を鱗状に縫いつけた上半身鎧。[LINE]
古くから存在する歴史のある鎧。[LINE]
歩くと音が響くのが難点。[END]
","//Text $1B5808
#WRITE(ptr,$18F6F8)
Upper body armor sewn with steel scales.[LINE]
A storied and ancient armor. Its only fault[LINE]
is that it's noisy when moving.[END]"
"//Text $1B57F0
#WRITE(ptr,$18F730)
[Sign_Shield]スプリントアーマー[END]
","//Text $1B57F0
#WRITE(ptr,$18F730)
[Sign_Shield]Splint Armor[END]
"
"//Text $1B57A0
#WRITE(ptr,$18F734)
チェインアーマーを鋼板で強化した[LINE]
上半身鎧。チェインより堅いが[LINE]
より重い。[END]
","//Text $1B57A0
#WRITE(ptr,$18F734)
Chain Armor strengthened with[LINE]
steel plates. Tougher than Chain[LINE]
Armor, but also heavier.[END]
"
"//Text $1B5788
#WRITE(ptr,$18F76C)
[Sign_Shield]ブラックアーマー[END]
","//Text $1B5788
#WRITE(ptr,$18F76C)
[Sign_Shield]Black Armor[END]
"
"//Text $1B5750
#WRITE(ptr,$18F770)
黒く輝く美しい上半身鎧。[LINE]
祭儀用に使われる漆黒の鎧。[LINE]
[END]
","//Text $1B5750
#WRITE(ptr,$18F770)
A beautiful and shining black[LINE]
armor. Jet black armor used[LINE]
in rituals.[END]"
"//Text $1B5738
#WRITE(ptr,$18F7A8)
[Sign_Shield]ゴシックアーマー[END]
","//Text $1B5738
#WRITE(ptr,$18F7A8)
[Sign_Shield]Gothic Armor[END]
"
"//Text $1B56F0
#WRITE(ptr,$18F7AC)
簡素でいて典雅な造りの上半身鎧。[LINE]
過去に興った美術様式を汲んだ[LINE]
作品。[END]
","//Text $1B56F0
#WRITE(ptr,$18F7AC)
A simple, but elegant upper body armor.[LINE]
Its beautiful style draws inspiration[LINE]
from a bygone era.[END]"
"//Text $1B56D8
#WRITE(ptr,$18F7E4)
[Sign_Shield]ルーンアーマー[END]
","//Text $1B56D8
#WRITE(ptr,$18F7E4)
[Sign_Shield]Rune Armor[END]
"
"//Text $1B5678
#WRITE(ptr,$18F7E8)
希望のルーンが刻まれた上半身鎧。[LINE]
どんな時でも挫けない[LINE]
強い心を身に付けた者に与えられる。[END]
","//Text $1B5678
#WRITE(ptr,$18F7E8)
Upper body armor engraved with the Hope[LINE]
rune. Imbues its users with the strength[LINE]
of mind to never be disheartened.[END]"
"//Text $1B5660
#WRITE(ptr,$18F820)
[Sign_Shield]プラチナアーマー[END]
","//Text $1B5660
#WRITE(ptr,$18F820)
[Sign_Shield]Platinum Armor[END]
"
"//Text $1B5610
#WRITE(ptr,$18F824)
プラチナで装飾された上半身鎧。[LINE]
上位の騎士達が身に付ける、[LINE]
美麗でいて堅固な鎧。[END]
","//Text $1B5610
#WRITE(ptr,$18F824)
Upper body armor decorated with[LINE]
platinum. A solid and beautiful armor[LINE]
worn by high-ranking knights.[END]"
"//Text $1B55F8
#WRITE(ptr,$18F85C)
[Sign_Shield]ドラゴンアーマー[END]
","//Text $1B55F8
#WRITE(ptr,$18F85C)
[Sign_Shield]Dragon Armor[END]
"
"//Text $1B55A0
#WRITE(ptr,$18F860)
ドラゴンの鱗で強化した上半身鎧。[LINE]
ドラゴンの鋭い爪から身を守り、[LINE]
吐く炎をも遮る。[END]
","//Text $1B55A0
#WRITE(ptr,$18F860)
Upper body armor strengthened with[LINE]
dragon scales. Protects against a[LINE]
dragon's sharp claws and fiery breath.[END]"
"//Text $1B5588
#WRITE(ptr,$18F898)
[Sign_Shield]グリムアーマー[END]
","//Text $1B5588
#WRITE(ptr,$18F898)
[Sign_Shield]Grimm Armor[END]
"
"//Text $1B5530
#WRITE(ptr,$18F89C)
伝説に登場する幻想の力を秘めた[LINE]
上半身鎧。口伝を書物にまとめた[LINE]
兄弟の名を冠する。[END]
","//Text $1B5530
#WRITE(ptr,$18F89C)
Armor imbued with the hidden power of[LINE]
fantasies. Named after the brothers[LINE]
who collected oral traditions into a book.[END]"
"//Text $1B5518
#WRITE(ptr,$18F8D4)
[Sign_Shield]マスターピース[END]
","//Text $1B5518
#WRITE(ptr,$18F8D4)
[Sign_Shield]Masterpiece[END]
"
"//Text $1B54D8
#WRITE(ptr,$18F8D8)
名も無き鍛冶屋の無二の傑作。[LINE]
どんな衝撃でも皹すら入らない。[LINE]
[END]
","//Text $1B54D8
#WRITE(ptr,$18F8D8)
A peerless masterpiece made by[LINE]
an unknown blacksmith. Will never[LINE]
crack no matter the attack.[END]"
"//Text $1B54C0
#WRITE(ptr,$18F910)
[Sign_Shield]フォートレス[END]
","//Text $1B54C0
#WRITE(ptr,$18F910)
[Sign_Shield]Fortress[END]
"
"//Text $1B5480
#WRITE(ptr,$18F914)
要塞と呼ばれる堅固な上半身鎧。[LINE]
死角のない鉄壁な守りを誇る。[LINE]
[END]
","//Text $1B5480
#WRITE(ptr,$18F914)
Upper body armor referred to as[LINE]
a fortress. Feels like an impregnable[LINE]
wall with no openings.[END]"
"//Text $1B5468
#WRITE(ptr,$18F94C)
[Sign_Shield]シュラハトフェルト[END]
","//Text $1B5468
#WRITE(ptr,$18F94C)
[Sign_Shield]Schlachtfeld[END]
"
"//Text $1B5420
#WRITE(ptr,$18F950)
戦場を駆ける兵士達の守護神の名。[LINE]
必ず生還する鎧として[LINE]
賞賛されている。[END]
","//Text $1B5420
#WRITE(ptr,$18F950)
Designated after the deity that protects[LINE]
soldiers on the battlefield. Praised as the[LINE]
armor that guarantees their return.[END]"
"//Text $1B5408
#WRITE(ptr,$18F988)
[Sign_Shield]メギンギョルズ[END]
","//Text $1B5408
#WRITE(ptr,$18F988)
[Sign_Shield]Megingjord[END]
"
"//Text $1B53C8
#WRITE(ptr,$18F98C)
力が倍増する魔力を秘めている帯。[LINE]
雷神の持ち物と言われている。[LINE]
[END]
","//Text $1B53C8
#WRITE(ptr,$18F98C)
Ensorcelled sash that doubles[LINE]
one's might. Said to be the[LINE]
possession of a thunder God.[END]"
"//Text $1B53B0
#WRITE(ptr,$18F9C4)
[Sign_Shield]リフレックス[END]
","//Text $1B53B0
#WRITE(ptr,$18F9C4)
[Sign_Shield]Reflex[END]
"
"//Text $1B5358
#WRITE(ptr,$18F9C8)
攻撃を反射すると言われる上半身鎧。[LINE]
天地戦争時代の天才科学者が[LINE]
作ったと言われている。[END]
","//Text $1B5358
#WRITE(ptr,$18F9C8)
Upper body armor that is said to reflect[LINE]
attacks. Said to have been invented by a[LINE]
genius scientist during the Aeth'er War.[END]"
"//Text $1B5340
#WRITE(ptr,$18FA00)
[Sign_Shield]マム・ベイン[END]
","//Text $1B5340
#WRITE(ptr,$18FA00)
[Sign_Shield]Mumbane[END]
"
"//Text $1B52F8
#WRITE(ptr,$18FA04)
大地母神の守護を受けた上半身鎧。[LINE]
聖なるオーラが外敵から身を守る。[LINE]
[END]
","//Text $1B52F8
#WRITE(ptr,$18FA04)
Upper body armor imbued with the[LINE]
Earth Goddess' protection. Protects[LINE]
the body with a holy aura.[END]"
"//Text $1B52E0
#WRITE(ptr,$18FA3C)
[Sign_Shield]ラストクルセイダー[END]
","//Text $1B52E0
#WRITE(ptr,$18FA3C)
[Sign_Shield]Last Crusader[END]
"
"//Text $1B5298
#WRITE(ptr,$18FA40)
聖戦に赴く騎士のための上半身鎧。[LINE]
装備した者は、信仰の力で[LINE]
守護される。[END]
","//Text $1B5298
#WRITE(ptr,$18FA40)
Upper body armor made for knights[LINE]
heading to holy war. Protects its[LINE]
wearers with the power of faith.[END]"
"//Text $1B5278
#WRITE(ptr,$18FA78)
[Sign_Shield]ハーモニックアーマー[END]
","//Text $1B5278
#WRITE(ptr,$18FA78)
[Sign_Shield]Harmonic Armor[END]
"
"//Text $1B5220
#WRITE(ptr,$18FA7C)
「調和」を意味する上半身鎧。[LINE]
全ての均衡を正す使徒となる。[LINE]
選ばれた者のみが手にできる。[END]
","//Text $1B5220
#WRITE(ptr,$18FA7C)
Upper body armor that carries the meaning[LINE]
of ""Harmony"". Turns one into a disciple of[LINE]
balance. Can only be acquired by the chosen ones.[END]"
"//Text $1B5208
#WRITE(ptr,$18FAB4)
[Sign_Shield]レザープレート[END]
","//Text $1B5208
#WRITE(ptr,$18FAB4)
[Sign_Shield]Leather Plate[END]
"
"//Text $1B51B8
#WRITE(ptr,$18FAB8)
革製の胸当て。[LINE]
軽くてそこそこ丈夫なため、[LINE]
冒険者たちに長年愛用されている。[END]
","//Text $1B51B8
#WRITE(ptr,$18FAB8)
Leathern breastplate. Favored by[LINE]
adventurers due to its lightness[LINE]
and fair protection.[END]
"
"//Text $1B51A0
#WRITE(ptr,$18FAF0)
[Sign_Shield]アイアンプレート[END]
","//Text $1B51A0
#WRITE(ptr,$18FAF0)
[Sign_Shield]Iron Plate[END]
"
"//Text $1B5160
#WRITE(ptr,$18FAF4)
鉄板で強化した胸当て。[LINE]
重いが硬くて頑丈。[LINE]
伝統ある胸当て。[END]
","//Text $1B5160
#WRITE(ptr,$18FAF4)
Breastplate strengthened with[LINE]
iron plates. A heavy, but sturdy,[LINE]
traditional breastplate.[END]
"
"//Text $1B5148
#WRITE(ptr,$18FB2C)
[Sign_Shield]スチールプレート[END]
","//Text $1B5148
#WRITE(ptr,$18FB2C)
[Sign_Shield]Steel Plate[END]
"
"//Text $1B5118
#WRITE(ptr,$18FB30)
鋼板で強化した胸当て。[LINE]
兵士達の愛用品。[LINE]
[END]
","//Text $1B5118
#WRITE(ptr,$18FB30)
Breastplate strengthened[LINE]
with steel plates. A favorite[LINE]
of soldiers.[END]"
"//Text $1B5100
#WRITE(ptr,$18FB68)
[Sign_Shield]チタンプレート[END]
","//Text $1B5100
#WRITE(ptr,$18FB68)
[Sign_Shield]Titanium Plate[END]
"
"//Text $1B50B8
#WRITE(ptr,$18FB6C)
チタン合金で強化した胸当て。[LINE]
非常に軽く、並外れた耐食性を持つ。[LINE]
[END]
","//Text $1B50B8
#WRITE(ptr,$18FB6C)
Breastplate strengthened[LINE]
with a titanium alloy. Very light[LINE]
and corrosion resistant.[END]"
"//Text $1B50A0
#WRITE(ptr,$18FBA4)
[Sign_Shield]シルバープレート[END]
","//Text $1B50A0
#WRITE(ptr,$18FBA4)
[Sign_Shield]Silver Plate[END]
"
"//Text $1B5050
#WRITE(ptr,$18FBA8)
銀細工で装飾された胸当て。[LINE]
白い輝きが美しい。[LINE]
聖なる祈りが込められている。[END]
","//Text $1B5050
#WRITE(ptr,$18FBA8)
Breastplate decorated with[LINE]
silverwork. Has a beautiful luster[LINE]
and is imbued with prayers.[END]
"
"//Text $1B5038
#WRITE(ptr,$18FBE0)
[Sign_Shield]ゴールドプレート[END]
","//Text $1B5038
#WRITE(ptr,$18FBE0)
[Sign_Shield]Gold Plate[END]
"
"//Text $1B5000
#WRITE(ptr,$18FBE4)
金細工で装飾された胸当て。[LINE]
別名「豪華な胸当て」。[LINE]
[END]
","//Text $1B5000
#WRITE(ptr,$18FBE4)
Breastplate decorated with[LINE]
gold. Also known as the[LINE]
""Opulent Breastplate"".[END]
"
"//Text $1B4FE8
#WRITE(ptr,$18FC1C)
[Sign_Shield]ミスリルプレート[END]
","//Text $1B4FE8
#WRITE(ptr,$18FC1C)
[Sign_Shield]Mithril Plate[END]
"
"//Text $1B4FA0
#WRITE(ptr,$18FC20)
ミスリル細工で装飾された胸当て。[LINE]
ドワーフ族の芸術作品といわれる。[LINE]
[END]
","//Text $1B4FA0
#WRITE(ptr,$18FC20)
Breastplate decorated with[LINE]
Mithril. Considered to be[LINE]
a Dwarven work of art.[END]"
"//Text $1B4F88
#WRITE(ptr,$18FC58)
[Sign_Shield]スタープレート[END]
","//Text $1B4F88
#WRITE(ptr,$18FC58)
[Sign_Shield]Star Plate[END]
"
"//Text $1B4F30
#WRITE(ptr,$18FC5C)
特殊加工して作られた非常に軽い[LINE]
胸当て。流星のように速く動ける。[LINE]
と、宣伝されている。[END]
","//Text $1B4F30
#WRITE(ptr,$18FC5C)
Extremely light breastplate made using a[LINE]
special process. Allows one to move as fast[LINE]
as a falling star. Or so it is advertised.[END]
"
"//Text $1B4F18
#WRITE(ptr,$18FC94)
[Sign_Shield]ダイヤプレート[END]
","//Text $1B4F18
#WRITE(ptr,$18FC94)
[Sign_Shield]Diamond Plate[END]
"
"//Text $1B4ED8
#WRITE(ptr,$18FC98)
ダイヤモンドで装飾された胸当て。[LINE]
その輝きは敵の目を眩ます。[LINE]
[END]
","//Text $1B4ED8
#WRITE(ptr,$18FC98)
Breastplate decorated with[LINE]
diamonds. Bewilders enemies[LINE]
with its brightness.[END]
"
"//Text $1B4EC0
#WRITE(ptr,$18FCD0)
[Sign_Shield]バトルプレート[END]
","//Text $1B4EC0
#WRITE(ptr,$18FCD0)
[Sign_Shield]Battle Plate[END]
"
"//Text $1B4E70
#WRITE(ptr,$18FCD4)
戦闘用に特化した胸当て。[LINE]
機能性重視で作られたため、[LINE]
とても丈夫で動きやすい。[END]
","//Text $1B4E70
#WRITE(ptr,$18FCD4)
Breastplate made specially for combat.[LINE]
Since it is made with functionality in mind[LINE]
it doesn't hinder one's movements.[END]
"
"//Text $1B4E58
#WRITE(ptr,$18FD0C)
[Sign_Shield]レアプレート[END]
","//Text $1B4E58
#WRITE(ptr,$18FD0C)
[Sign_Shield]Rare Plate[END]
"
"//Text $1B5880
#WRITE(ptr,$18FD10)
名工ギースの魂のこもった[LINE]
無二の傑作。[LINE]
きわめて希少価値が高い。[END]
","//Text $1B5880
#WRITE(ptr,$18FD10)
Masterpiece imbued with[LINE]
the soul of Giese.[LINE]
Extremely valuable.[END]"
"//Text $1B4E40
#WRITE(ptr,$18FD48)
[Sign_Shield]ルーンプレート[END]
","//Text $1B4E40
#WRITE(ptr,$18FD48)
[Sign_Shield]Rune Plate[END]
"
"//Text $1B4DE8
#WRITE(ptr,$18FD4C)
勇気のルーンが刻まれた胸当て。[LINE]
どんな時でも怯まない、[LINE]
強い心を身に付けた者に与える。[END]
","//Text $1B4DE8
#WRITE(ptr,$18FD4C)
Breastplate engraved with the Courage[LINE]
rune. Imbues its users with the strength[LINE]
of mind to never be disheartened.[END]
"
"//Text $1B4DD0
#WRITE(ptr,$18FD84)
[Sign_Shield]プラチナプレート[END]
","//Text $1B4DD0
#WRITE(ptr,$18FD84)
[Sign_Shield]Platinum Plate[END]
"
"//Text $1B4D80
#WRITE(ptr,$18FD88)
プラチナで装飾された胸当て。[LINE]
高価で美しいのみならず、[LINE]
堅く機能性に優れた一品。[END]
","//Text $1B4D80
#WRITE(ptr,$18FD88)
Breastplate decorated with platinum.[LINE]
Not only expensive and beautiful but[LINE]
also very functional.[END]"
"//Text $1B4D68
#WRITE(ptr,$18FDC0)
[Sign_Shield]ドラゴンプレート[END]
","//Text $1B4D68
#WRITE(ptr,$18FDC0)
[Sign_Shield]Dragon Plate[END]
"
"//Text $1B4D18
#WRITE(ptr,$18FDC4)
ドラゴンの鱗で強化した胸当て。[LINE]
ドラゴンの鋭い爪から身を守り、[LINE]
吐く炎をも遮る。[END]
","//Text $1B4D18
#WRITE(ptr,$18FDC4)
Breastplate strengthened with dragon[LINE]
scales. Protects against a dragon's[LINE]
sharp claws and fiery breath.[END]
"
"//Text $1B4D00
#WRITE(ptr,$18FDFC)
[Sign_Shield]グリムプレート[END]
","//Text $1B4D00
#WRITE(ptr,$18FDFC)
[Sign_Shield]Grimm Plate[END]
"
"//Text $1B4CB0
#WRITE(ptr,$18FE00)
伝説に登場する幻想の力を秘めた[LINE]
胸当て。口伝を書物にまとめた[LINE]
兄弟の名を冠する。[END]
","//Text $1B4CB0
#WRITE(ptr,$18FE00)
Breastplate imbued with the hidden power of[LINE]
fantasies. Named after the brothers[LINE]
who collected oral traditions into a book.[END]
"
"//Text $1B4CA0
#WRITE(ptr,$18FE38)
[Sign_Shield]ランパート[END]
","//Text $1B4CA0
#WRITE(ptr,$18FE38)
[Sign_Shield]Rampart[END]
"
"//Text $1B4C60
#WRITE(ptr,$18FE3C)
城壁という名の胸当て。[LINE]
強固な守りは、強弓を用いても[LINE]
貫けない。[END]
","//Text $1B4C60
#WRITE(ptr,$18FE3C)
Breastplate referred to as a rampart.[LINE]
Provides a staunch defense[LINE]
impenetrable by even heavy bows.[END]"
"//Text $1B4C48
#WRITE(ptr,$18FE74)
[Sign_Shield]バイタルバーナー[END]
","//Text $1B4C48
#WRITE(ptr,$18FE74)
[Sign_Shield]Vital Burner[END]
"
"//Text $1B4BF8
#WRITE(ptr,$18FE78)
装備者に活力を与える胸当て。[LINE]
激戦、乱戦にも折れない心を[LINE]
身に付けた者に与える。[END]
","//Text $1B4BF8
#WRITE(ptr,$18FE78)
Breastplate that imbues the wearer[LINE]
with vitality. Grants an unbreakable[LINE]
heart even in hard-fought battles.[END]"
"//Text $1B4BE0
#WRITE(ptr,$18FEB0)
[Sign_Shield]ヴァーティカル[END]
","//Text $1B4BE0
#WRITE(ptr,$18FEB0)
[Sign_Shield]Vertical[END]
"
"//Text $1B4B88
#WRITE(ptr,$18FEB4)
天頂の名を冠する胸当て。[LINE]
触れることすら叶わない。羽のよう[LINE]
に軽く、光と風の守護を得る。[END]
","//Text $1B4B88
#WRITE(ptr,$18FEB4)
Breastplate named after the[LINE]
Zenith. Light as a feather and[LINE]
blessed by light and wind.[END]"
"//Text $1B4B68
#WRITE(ptr,$18FEEC)
[Sign_Shield]リヴァイバルプレート[END]
","//Text $1B4B68
#WRITE(ptr,$18FEEC)
[Sign_Shield]Revival Plate[END]
"
"//Text $1B4B10
#WRITE(ptr,$18FEF0)
「再生」を意味する胸当て。[LINE]
倒れることすら許されない。[LINE]
選ばれた者のみが手にできる。[END]
","//Text $1B4B10
#WRITE(ptr,$18FEF0)
Breastplate that carries the meaning of[LINE]
""Rebirth"". Will not allow one to fall.[LINE]
Can only be acquired by the chosen ones.[END]"
"//Text $1B4AF8
#WRITE(ptr,$18FF28)
[Sign_Shield]ブロンズウェア[END]
","//Text $1B4AF8
#WRITE(ptr,$18FF28)
[Sign_Shield]Bronze Tunic[END]
"
"//Text $1B4AA8
#WRITE(ptr,$18FF2C)
銅板を縫い付けた男性用衣装。[LINE]
軽くてそこそこ丈夫なため、[LINE]
旅人に好まれている。[END]
","//Text $1B4AA8
#WRITE(ptr,$18FF2C)
A man's garment made of bronze plates[LINE]
stitched together. Favored by travelers[LINE]
due to lightness and fair protection.[END]"
"//Text $1B4A90
#WRITE(ptr,$18FF64)
[Sign_Shield]アイアンウェア[END]
","//Text $1B4A90
#WRITE(ptr,$18FF64)
[Sign_Shield]Iron Tunic[END]
"
"//Text $1B4A48
#WRITE(ptr,$18FF68)
鉄板を縫い付けた男性用衣装。[LINE]
重いが堅く、戦闘仕様な作りに[LINE]
なっている。[END]
","//Text $1B4A48
#WRITE(ptr,$18FF68)
A man's garment made of iron plates[LINE]
stitched together. Heavy but rigid and[LINE]
made for combat.[END]"
"//Text $1B4A30
#WRITE(ptr,$18FFA0)
[Sign_Shield]スチールウェア[END]
","//Text $1B4A30
#WRITE(ptr,$18FFA0)
[Sign_Shield]Steel Tunic[END]
"
"//Text $1B49E0
#WRITE(ptr,$18FFA4)
鋼板を縫い付けた男性用衣装。[LINE]
護衛や警備を生業としている人々に[LINE]
使われている。[END]
","//Text $1B49E0
#WRITE(ptr,$18FFA4)
A man's garment made of steel plates[LINE]
stitched together. Used by guards and[LINE]
local militias.[END]"
